facility_id,data_sources,original_ids,last_updated,facility_name,operator_name,address,phone,prefecture,process_tags,daily_capacity,accepted_materials,is_registered,is_certified,is_methane,registration_no,expiration_date,url,description,image_url,latitude,longitude
893743fc-021e-47f5-bfd4-b95b4392e861,['registered'],{'registered': '9'},2026-01-06T23:31:48.798370,株式会社みえエコくるセンター 本社工場,株式会社みえエコくるセンター,三重県津市安濃町安濃2075番地1,059-267-0555,,['肥料化事業'],,"一般廃棄物, 産業廃棄物, 有価物",True,False,False,9.0,R11.3.22,,,,34.780206,136.4593441
7cd8a93c-6ad1-44b8-aa84-34203f3744d2,"['registered', 'certified']","{'registered': '1', 'certified': '29'}",2026-01-06T23:31:48.802126,有限会社三功 第１リサイクル工場,有限会社三功,三重県津市戸木町4857番24、4992番2、5010番1,059-255-5177,,"['肥料化', '肥料化事業']",,"一般廃棄物, 産業廃棄物, 有価物",True,True,False,1.0,R10.9.28,,食品関連事業者: ユニー株式会社 / 収集先: 三重県 ：鈴鹿市、松阪 / 市、四日市市、伊勢市,,34.6826144,136.4447211
b0d37f85-8581-4356-b8f5-98027c181e35,['syokuri'],{'syokuri': '447'},2026-01-06T23:31:48.805764,有限会社三功,有限会社三功,三重県津市戸木町5012,059-255-5177,三重県,['肥料化'],,食品リサイクラー,False,False,False,,,http://www.sankoh35.co.jp/,良質な堆肥づくりをモットーに、微生物の働きを最大にする醗酵ドラムを使い、約3ケ月かけて完熟堆肥を製造。近隣の農家と共に食品リサイクル・ループを構築しています。堆肥「有機みえ」は三重県認定のリサイクル製品です。FR認証も受けています。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,34.681268,136.4451525
67ba71dd-a248-4239-a882-2a1663db909d,['certified'],{'certified': '32'},2026-01-06T23:31:48.809960,株式会社辻建設 リサイクル / 工場,株式会社辻建設,京都府京丹後市久美浜町小 桑小字大藪２５３番地 京都府京丹後市久美浜町佐 野小字御堂谷2086－1番 地、同2086番地、同2085-1 番地,,,['肥料化'],,,False,True,False,32.0,,,食品関連事業者: 有限会社ジョイクックおくだ / 森下 友春（レストラン ペイクッ / ク） / 収集先: 京都府 ：京丹後市,,35.5737992,134.9906076
5bdacdce-7d8d-48c3-8a29-5720c5e98eae,['methane'],{'methane': '29'},2026-01-06T23:31:48.813457,カンポリサイクルプラザ(株)バイオリサイクル施設,カンポリサイクルプラザ(株),京都府南丹市園部町高屋西谷1番地,,京都府,['乾式高温'],50.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 民設民営方式,,35.1153676,135.4999767
b7693556-c61d-4025-b4dd-525b25ae958f,['registered'],{'registered': '4'},2026-01-06T23:31:48.816624,株式会社レボインターナショナル 京都工場,株式会社レボインターナショナル,京都府綴喜郡宇治田原町大字立川小字金井谷1番52,075-604-0518,,"['油脂製品化', '事業']",,有価物,True,False,False,4.0,R7.8.3,,,,34.850004,135.8900765
8aa1ea2f-d129-4625-b10c-90e7bf34b623,['certified'],{'certified': '31'},2026-01-06T23:31:48.819888,京都有機質資源株式会社,京都有機質資源株式会社,京都府長岡京市神足落述１,,,['飼料化'],,,False,True,False,31.0,,,食品関連事業者: ユニー株式会社 / 収集先: 奈良県 ：大和郡山市,,34.9226699,135.7147389
8e159140-8d7c-427e-8a00-bf7d7e79d567,"['registered', 'certified']","{'registered': '1', 'certified': '49'}",2026-01-06T23:31:48.823327,京都有機質資源株式会社 長岡京工場,京都有機質資源株式会社,京都府長岡京市神足落述１番地,075-953-6100,,"['飼料化事業', '飼料化']",,"一般廃棄物, 産業廃棄物",True,True,False,1.0,R10.9.2,,食品関連事業者: ワタミ株式会社 / 収集先: 京都府：京都市,,34.9226699,135.7147389
398d0a7b-195a-4f9d-8d07-73e41aa439da,['certified'],{'certified': '55'},2026-01-06T23:31:48.828904,株式会社トワード リサイクル / プラント 堆肥化施設,株式会社トワード,佐賀県神埼郡吉野ヶ里町三 津1636番1、1637番1、1637 番7、1638番1、1638番4及び 1632番2、1637番6地先,,,['肥料化'],,,False,True,False,55.0,,,食品関連事業者: ロイヤル株式会社 / 収集先: 福岡県：福岡市,,33.3530291,130.3862163
f287b46d-3d96-4b8a-824a-1c13b5ba0c12,['syokuri'],{'syokuri': '596'},2026-01-06T23:31:48.835730,株式会社大島産業,株式会社大島産業,佐賀県神崎郡吉野ケ里町吉田2469-1,0952-53-4400,佐賀県,"['肥料化', '飼料化']",,食品リサイクラー,False,False,False,,,http://oshima-industry.co.jp/,大島産業グループでは、飼料化・堆肥化・サーマルリサイクルと段階別に食品リサイクルを行っております。 特徴としましては併設する焼却施設の排熱を利用して食品残さを乾燥させ、飼料製造を行っているという点です。 飼料化に向かないものは乾燥後大分工場にて堆肥化し、再生利用できないものは焼却後熱回収を行っております。 このように自社内で完結させることにより、不法投棄のリスクを避けることが可能です。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,33.3377564,130.4078423
f64b4b5c-38f4-4a1f-b0fd-de102a217cfa,['certified'],{'certified': '38'},2026-01-06T23:31:48.843689,有限会社鳥栖環境開発綜合 / センター 堆肥化施設,有限会社鳥栖環境開発綜合セ / ンター,佐賀県鳥栖市轟木町912- 1、912-7、926、927-1、927- 4、929-2、929-3、930-3,,,['肥料化'],,,False,True,False,38.0,,,食品関連事業者: ロイヤルホスト株式会社 / ロイヤル株式会社 / ロイヤル空港高速フードサービス / 株式会社 / ロイヤルインフライトケイタリング / 株式会社 / 収集先: 福岡県 ：福岡市、古賀 / 市 / 佐賀県 ：武雄市 / 熊本県 ：熊本市,,33.3623632,130.497669
96454e16-7f81-4812-83ed-af6266b412f4,"['methane', 'syokuri']","{'methane': '38', 'syokuri': '460'}",2026-01-06T23:31:48.850371,メタン発酵施設,（有）鳥栖環境開発綜合センター,佐賀県鳥栖市轟木町929-2,0942-83-4069,佐賀県,"['油脂化', '肥料化', '湿式中温', 'メタン化']",9.0,事業系生ごみ / 食品リサイクラー,False,False,True,,,https://www.tosukan.co.jp/,事業方式: 民設民営方式 / 生ごみ・食品廃棄物の脱焼却をめざし、契約事業所を中心としたお客様に分別回収の協力をお願いしております。また、回収した生ごみから新たな電気や熱エネルギーを回収するなど、リサイクルを推進しております。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,33.3640093,130.496776
aff9c858-cc57-4268-8545-998598c94ae6,['registered'],{'registered': '3'},2026-01-06T23:31:48.858315,有限会社鳥栖環境開発綜合センター 本社工場,有限会社鳥栖環境開発綜合センター,佐賀県鳥栖市轟木町929-2､930-3､929-3､926-1､912-1､912-7､927-1、927-4,0942-83-4069,,"['油脂製品化', '事業', 'メタン化事業', '肥料化事業']",,"一般廃棄物, 産業廃棄物",True,False,False,3.0,R10.6.10,,,,33.3640093,130.496776
7a7f4f5a-e9f6-4e69-a095-0c9dd74cb28a,['certified'],{'certified': '60'},2026-01-06T23:31:48.865950,有限会社鳥栖環境開発綜合 / センター 堆肥化施設,有限会社鳥栖環境開発綜合セ / ンター,佐賀県鳥栖市轟木町一本杉 926-1、927-,,,['肥料化'],,,False,True,False,60.0,,,食品関連事業者: 株式会社サッポロライオン / 収集先: 福岡県 ：福岡市,,33.3634497,130.4999942
3137ef49-90b8-420b-bcc4-b796ba321096,['certified'],{'certified': '37'},2026-01-06T23:31:48.872574,大栄環境株式会社 三木リサ / イクルセンター,大栄環境株式会社,兵庫県三木市口吉川町里協 字八幡谷601番10他8筆,,,['肥料化'],,,False,True,False,37.0,,,食品関連事業者: 株式会社フジ / イオンリテール株式会社 / イオンリテールストア株式会社 / 株式会社ダイエー / イオンフードサプライ株式会社 / 関東屋またの食品株式会社 / ブンセン株式会社 / 株式会社清浄野菜普及研究所 / 収集先: 大阪府 ：大阪市、豊中 / 市、池田市、吹田市、八 / 尾市、箕面市、門真市、 / 東大阪市、大阪狭山市 / 兵庫県 ：神戸市、姫路 / 市、明石市、西宮市、伊 / 丹市、加古川市、赤穂 / 市、三木市、小野市、三 / 田市、加西市、宍粟市、 / 加東市、たつの市、猪名 / 川町、播磨町,,34.8565768,135.0606557
a555af27-70c9-4f67-b0f7-3c4df455929b,['certified'],{'certified': '36'},2026-01-06T23:31:48.879391,生活協同組合コープこうべ / コープ土づくりセンター,大栄環境株式会社,兵庫県三木市細川町瑞穂 2327,,,['肥料化'],,,False,True,False,36.0,,,食品関連事業者: 生活協同組合コープこうべ / 収集先: 兵庫県 ：三木市、神戸 / 市、芦屋市、明石市、西 / 宮市、宝塚市、尼崎市、 / 伊丹 / 市、加古川市、高砂市 / 大阪府（島本町、豊中 / 市、箕面市、茨木市、豊 / 能町、吹田市）,,34.8439475,135.0939888
57639662-0989-410d-9303-88ad791501dc,['syokuri'],{'syokuri': '450'},2026-01-06T23:31:48.886684,ハリマ産業エコテック株式会社,ハリマ産業エコテック株式会社,兵庫県姫路市網千区浜田1223-10,079-273-8152,兵庫県,"['肥料化', '飼料化']",,食品リサイクラー,False,False,False,,,https://www.f-unit.jp/harima,剪定枝、樹皮、食品工場等から発生する資源のリサイクルに取り組んでいます。さらに農林水産業への具体的な取り組みとして、ブルーベリー農園の運営と製品の出荷、並びに牡蠣の養殖と牡蠣殻の肥飼料への有効利用を行っています。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,34.8154176,134.6855509
fed29374-7a9b-4d3b-a02f-a1b2f58d1d39,['registered'],{'registered': '1'},2026-01-06T23:31:48.895275,ハリマ産業エコテック株式会社 本社工場、第二工場,ハリマ産業エコテック株式会社,兵庫県姫路市網干区浜田1223番地の10、1223番地の17、1223番地の28、1223番地の29、1554番地の5、1554番地の13、1555番地の8、1555番地の23、1223番地の22、1554番地の9,079-273-8152,,['肥料化事業'],,"産業廃棄物, 有価物",True,False,False,1.0,R8.1.18,,,,34.7690683,134.574138
eba9b85c-e23d-4898-9cd2-6e6c77970d80,['registered'],{'registered': '5'},2026-01-06T23:31:48.902879,西播商事株式会社 産業廃棄物焼却センター,西播商事株式会社,兵庫県姫路市飾磨区中島字宝来3067-18、3067-19,079-233-9898,,['炭化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,5.0,R9.5.10,,,,34.7827937,134.6747948
fc1f07f4-cbb4-4cf5-887b-cd9081613585,['registered'],{'registered': '4'},2026-01-06T23:31:48.910298,近畿ケミカル株式会社 本社工場,近畿ケミカル株式会社,兵庫県尼崎市東海岸町1番地の4,06-6409-0025,,['油脂化事業'],,"産業廃棄物, 有価物",True,False,False,4.0,R12.1.14,,,,34.6983539,135.405015
f8d06408-e595-4650-9507-5b3bf82517ea,['methane'],{'methane': '32'},2026-01-06T23:31:48.917958,南但ごみ処理施設（南但クリーンセンター）,南但広域行政事務組合（養父市、朝来市）,兵庫県朝来市和田山町高田817-1,,兵庫県,['乾式高温'],36.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式,,35.3667684,134.8240628
e27996ef-4cee-4f77-83a2-a30c61bf4301,['certified'],{'certified': '34'},2026-01-06T23:31:48.925164,マツダ株式会社 神戸工場,マツダ株式会社,兵庫県神戸市東灘区住吉浜 町17番地の8,,,['肥料化'],,,False,True,False,34.0,,,食品関連事業者: 株式会社関西スーパーマーケット / 収集先: 兵庫県 ：神戸市,,34.7054268,135.2609307
d53302e0-5794-469c-8825-b7f4be8b40ad,['methane'],{'methane': '31'},2026-01-06T23:31:48.931729,食品廃棄物処理施設,生活共同組合コープこうべ,兵庫県神戸市東灘区向洋町西2-1,,兵庫県,['湿式中温'],3.9,事業系生ごみ,False,False,True,,,,事業方式: 民設民営方式,,34.69281,135.2557106
4c26dd45-159c-4d1c-aa07-5805e81ccb05,['syokuri'],{'syokuri': '964'},2026-01-06T23:31:48.937868,株式会社リヴァックス,株式会社リヴァックス,兵庫県西宮市鳴尾浜2丁目1-16,0798-47-7626,兵庫県,[],,収集運搬業他 / その他,False,False,False,,,https://www.revacs.com/,様々な食品廃棄物のリサイクル化に取り組んでいます。飲料や高含水食品の乾燥処理をはじめ、包装済み食品の破砕分別など、肥料化や炭化リサイクルのための前処理の役割を担っています。専用の積替保管倉庫ではカテゴリごとの仕分けや保管も対応可能。2022年冬には自社バイオガス発電施設でのリサイクルもスタートし、食品の内容に応じた最適なリサイクルを選択できるフローを構築しています。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,34.6910335,135.3654393
f6df500b-e8b3-42ec-be90-ac6db43664ac,['methane'],{'methane': '5'},2026-01-06T23:31:48.944664,北広島下水処理センター,北広島市,北海道北広島市富ヶ岡916-2,,北海道,['湿式中温'],17.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式（国土交通省・環境省連携補助事業）,,42.9762827,141.5925882
300ad13f-a813-49d9-a374-3e3d0d5f757a,['registered'],{'registered': '4'},2026-01-06T23:31:48.950940,リサイクルファクトリー株式会社 千歳事業所,リサイクルファクトリー株式会社,北海道千歳市中央292番1・同292番2・同298番1に跨がる,011-219-6667,,['肥料化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,4.0,R10.5.25,,,,42.8577833,141.7144565
1a3d5b1e-cfc6-45da-9fa4-0c38191815a1,"['registered', 'syokuri']","{'registered': '13', 'syokuri': '465'}",2026-01-06T23:31:48.957669,株式会社エコフィールド本社工場,株式会社エコフィールド,北海道千歳市泉沢1007番地33,0123-28-2977,北海道,"['飼料化事業', '飼料化']",,有価物 / 食品リサイクラー,True,False,False,13.0,R11.12.24,,当社は、食品関連事業者より今まで廃棄物として廃棄されていた食品残さを回収し、これらを飼料原料として再生する食品リサイクル企業です。 従来の廃棄物の中から再生利用可能な物を再生原料として有効利用し、食品リサイクル循環型社会の構築を目指しております。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,42.7940079,141.6134495
5b947584-22d4-4887-89e0-1e2aae3d65f1,['certified'],{'certified': '1'},2026-01-06T23:31:48.964527,株式会社エコフィールド本社 / 工場,株式会社エコフィールド,北海道千歳市泉沢1007番地,,,['飼料化'],,,False,True,False,1.0,,,食品関連事業者: 山崎製パン株式会社 / 収集先: 北海道 ：恵庭市,,42.8003031,141.6150048
f2d96c8a-0ca5-4acb-9f30-472382c3d712,['registered'],{'registered': '14'},2026-01-06T23:31:48.970409,千歳美々廃棄物処理センター,株式会社HMエスパス,北海道千歳市美々1292番地659,0123-42-0530,,['肥料化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,14.0,R12.11.5,,,,42.7756437,141.7077267
38afa968-3845-4aec-8642-f3d4a5037ce0,['methane'],{'methane': '3'},2026-01-06T23:31:48.976521,西天北クリーンセンター,西天北五町衛生施設組合（天塩町・豊富町・遠別町・中川町・幌延町）,北海道天塩郡幌延町字幌延884,,北海道,['湿式高温'],5.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式,,45.0024503,141.8158823
cf9f9abc-b38a-475e-b128-985bfda03733,['methane'],{'methane': '7'},2026-01-06T23:31:48.982908,恵庭市生ごみ・し尿処理場,恵庭市,北海道恵庭市中島松460番地1,,北海道,['湿式中温'],18.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式,,42.9336587,141.6133651
5a5509e3-d985-4737-9541-221a41c52d20,['registered'],{'registered': '6'},2026-01-06T23:31:48.988710,北海道衛生工業株式会社 恵庭工場,北海道衛生工業株式会社,北海道恵庭市北柏木町3丁目194番地2,011-783-1432,,['肥料化事業'],,産業廃棄物,True,False,False,6.0,R8.2.9,,,,42.8932331,141.5506057
8a65fcb7-0786-419a-aff1-27b44db89385,['syokuri'],{'syokuri': '436'},2026-01-06T23:31:48.994741,リサイクルファクトリー株式会社,リサイクルファクトリー株式会社,北海道札幌市中央区南4条東5丁目1番地9,011-271-6755,北海道,['肥料化'],,食品リサイクラー,False,False,False,,,http://r-fact.com/,当社は、「万物を大地に返す」という理念のもと、40余町の用地で産廃・一廃の動植物性残渣、有機汚泥の飼肥料化を行っています。 又、好気性超高温発酵菌「ちとせマグマ」を（独）産総研と共同特許取得しました。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,43.05748819999999,141.3640937
a5de4773-e060-406f-9e3b-2c4a1056021a,['methane'],{'methane': '8'},2026-01-06T23:31:49.001582,札幌飼料化センター発電所,三造有機リサイクル株式会社,北海道札幌市東区中沼町45-53,,北海道,['湿式中温'],50.0,事業系生ごみ,False,False,True,,,,事業方式: 民設民営方式,,43.1402489,141.4474624
da501926-7584-4cee-b711-25110d7e514d,['methane'],{'methane': '1'},2026-01-06T23:31:49.007429,生ごみバイオガス化施設,北空知衛生センター組合（ごみ：深川市、妹背牛町、秩父別町、北竜町、沼田町）,北海道深川市一已町字一已1863番地,,北海道,['湿式高温'],16.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式,,43.75027559999999,142.043147
9fcbab95-50f1-46a2-89e9-a44acdfc340a,['methane'],{'methane': '4'},2026-01-06T23:31:49.013313,中空知衛生施設組合リサイクリーン,中空知衛生施設組合（滝川市、芦別市、赤平市、新十津川町、雨竜町）,北海道滝川市東滝川760番地1,,北海道,['湿式中温'],55.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式,,43.5813114,141.9733945
f9540578-4e6d-45d8-a65f-522f45231287,['methane'],{'methane': '2'},2026-01-06T23:31:49.019388,クリーンプラザ「くるくる」,砂川地区保健衛生組合（砂川市、歌志内市、上砂川町、奈井江町、浦臼町）,北海道砂川市西8条北22丁目127番地6,,北海道,['湿式高温'],22.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 公設公営方式,,43.5264642,141.904639
247ea8fc-8cdc-4dfb-967d-59cd7042ffaa,['methane'],{'methane': '6'},2026-01-06T23:31:49.025358,稚内市バイオエネルギーセンター,稚内市,北海道稚内市新光町1789 番地,,北海道,['湿式中温'],,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: PFI事業（BTO方式）,,45.3715866,141.7116544
e34b1f55-a4f8-48fd-b06d-5c2d615204af,['certified'],{'certified': '2'},2026-01-06T23:31:49.031798,株式会社トマウェーブ エポ / ジェネ苫小牧,株式会社トマウェーブ,北海道苫小牧市字勇払285 番地1、2,,,['肥料化'],,,False,True,False,2.0,,,食品関連事業者: ライラック・フーズ株式会社 / 収集先: 北海道 ：白老町,,42.6306944,141.6932701
76f39719-94d2-428c-b21e-dbe07a678e9a,['syokuri'],{'syokuri': '464'},2026-01-06T23:31:49.037894,株式会社バイオマスソリューションズ,株式会社バイオマスソリューションズ,北海道野付郡別海町別海宮舞町247番地,0153-75-1900,北海道,['肥料化'],,食品リサイクラー,False,False,False,,,http://biosol.jp/,,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,43.4006653,145.1223148
e69911a5-5150-4382-8dd1-bb0b6e857237,['registered'],{'registered': '3'},2026-01-06T23:31:49.045199,釧路ハイミール工場,株式会社釧路ハイミール,北海道釧路市大楽毛8番地10,0154-57-8822,,"['飼料化事業', '油脂化事業', '肥料化事業']",,有価物,True,False,False,3.0,R7.11.27,,,,43.0062095,144.2641087
1f210df7-867d-4599-ada4-163b8029910c,['registered'],{'registered': '10'},2026-01-06T23:31:49.051396,株式会社釧路厚生社S&K環境ワクチンセンター釧路事業所,株式会社釧路厚生社,北海道釧路市新野４１番１１,0154-40-2983,,['肥料化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,10.0,R12.7.22,,,,43.0023113,144.2355163
2ead6903-22ba-49b3-ba24-c368deba01ac,['registered'],{'registered': '7'},2026-01-06T23:31:49.057931,株式会社エコ・フード 本社工場,株式会社エコ・フード,千葉県匝瑳市川辺字宮敷207番1、207番2、208番1、208番2,0479-67-1025,,['飼料化事業'],,"一般廃棄物, 産業廃棄物, 有価物",True,False,False,7.0,R7.11.27,,,,35.6626929,140.5523828
1c53b3b7-5fb2-4aff-99fa-8ef2c57685e6,['registered'],{'registered': '13'},2026-01-06T23:31:49.064967,Ｊ＆T環境株式会社 千葉バイオガスセンター,Ｊ＆T環境株式会社,千葉県千葉市中央区川崎町10番3,045-505-7949,,['メタン化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,13.0,R11.2.1,,,,35.5711526,140.1239361
d2fa324c-4bda-4711-a318-0b25ef9f2caa,['methane'],{'methane': '16'},2026-01-06T23:31:49.071159,千葉バイオガスセンター,JFEエンジニアリング（株）,千葉県千葉市中央区川崎町1番地,,千葉県,['湿式中温'],30.0,"家庭系生ごみ, 事業系生ごみ",False,False,True,,,,事業方式: 民設民営方式,,35.5720079,140.1079742
032785de-ae87-4a9f-8806-db30f4e02ff4,['registered'],{'registered': '8'},2026-01-06T23:31:49.077210,有限会社笠間商事 幕張工場,有限会社笠間商事,千葉県千葉市花見川区幕張町3丁目2257番地1号、2256番地2号,043-271-3718,,['油脂化事業'],,有価物,True,False,False,8.0,R8.3.29,,,,35.671981,140.0557345
